,id,created_at,story,original_url,retweeted_status_id,quoted_status_id,in_reply_to_status_id,partisan_lean
0,1330238680041132035,2020-11-21 19:56:30+00,tech: Hammer and Scorecard,http://dlvr.it/Rm8kmw,1.330236901035561e+18,1.3301949069759734e+18,,right
1,1330238721757753347,2020-11-21 19:56:40+00,tech: Hammer and Scorecard,http://dlvr.it/Rm8kmw,1.330236901035561e+18,1.3301949069759734e+18,,right
2,1330214019454685194,2020-11-21 18:18:31+00,tech: Hammer and Scorecard,https://threadreaderapp.com/thread/1329525675666051073.html,,1.3302132786399273e+18,,right
3,1330186115203145729,2020-11-21 16:27:38+00,tech: Hammer and Scorecard,https://www.pscp.tv/w/cofjWDF4ZUtXWE5acWJOalB8MW5BS0VMdmRsUFZ4TPdxc1RK5LPWJxVNbTpUEz8i-SZNvlnVlg34hKkOBqrr,,1.3301835804887572e+18,,right
4,1330186115203145729,2020-11-21 16:27:38+00,tech: Hammer and Scorecard,https://youtu.be/EwZWhY1GJr4,,1.3301835804887572e+18,,right
5,1330239232363950080,2020-11-21 19:58:42+00,tech: Hammer and Scorecard,https://youtu.be/-0XNPFeKi28,,1.33018497699908e+18,,right
6,1330173767457398784,2020-11-21 15:38:34+00,tech: Hammer and Scorecard,,1.3298746262442066e+18,,,right
7,1330172840285528065,2020-11-21 15:34:53+00,tech: Hammer and Scorecard,,,1.3298746262442066e+18,,right
8,1330173600121434113,2020-11-21 15:37:54+00,tech: Hammer and Scorecard,https://news.yahoo.com/giuliani-flailing-says-venezuela-clinton-and-soros-hatched-centralized-plan-to-steal-election-for-biden-202122663.html?soc_src=social-sh&soc_trk=tw&tsrc=twtr,,,,unknown
9,1330173762633920518,2020-11-21 15:38:33+00,tech: Hammer and Scorecard,,1.3301569870075904e+18,1.329525675666051e+18,,right
10,1330171889684197378,2020-11-21 15:31:06+00,tech: Hammer and Scorecard,,1.329525675666051e+18,,,right
11,1330172407580123137,2020-11-21 15:33:10+00,tech: Hammer and Scorecard,,1.3297944361387418e+18,1.329525675666051e+18,,right
12,1330249808968359938,2020-11-21 20:40:43+00,tech: Hammer and Scorecard,,,1.3298373487297864e+18,1.33023376512222e+18,right
13,1330264932445794304,2020-11-21 21:40:49+00,tech: Hammer and Scorecard,,1.330242027573932e+18,,,right
14,1330266744926121988,2020-11-21 21:48:01+00,tech: Hammer and Scorecard,,1.3299979913824952e+18,1.329525675666051e+18,,unknown
15,1330200357612425217,2020-11-21 17:24:13+00,tech: Hammer and Scorecard,,1.3301974482837873e+18,1.329525675666051e+18,,right
16,1330251445791305728,2020-11-21 20:47:14+00,tech: Hammer and Scorecard,http://dlvr.it/Rm8kmw,1.330236901035561e+18,1.3301949069759734e+18,,right
17,1330252024517156870,2020-11-21 20:49:32+00,tech: Hammer and Scorecard,,,1.330236901035561e+18,,right
