District,District Code,Incumbent Party,Incumbent Name,,Year First Elected,Birth Year,Gender,Race or Ethnicity,Religious Affiliation,LGBTQ Status,Pre-2022 Incumbent,2020 President,,2016 President,,2022 House,,,,2023-2032 House Specials,,,Voting Age Population by Race (2020 Census),,,,,,Citizen Voting Age Population by Race (2016-2020 ACS),,,,,,Educational Attainment by Race for Adults Ages 25+ (2017-2021 ACS),,,,,,,2020 President,,,2016 President,,,2022 House,,,,,,2023-2032 House Special Elections,,,,Total Population (2020 Census),,,,,,,Voting Age Population (2020 Census),,,,,,,Citizen Voting Age Population (2016-2020 ACS),,,,,,,Educational Attainment for Adults 25+ (2017-2021 ACS),,,
District,Code,Party Holding Seat,First,Last,Year First Elected,Birth Year,Gender,Race or Ethnicity,Religious Affiliation,LGBTQ Status,Pre-2022 Incumbent,2020 Biden,2020 Trump,2016 Clinton,2016 Trump,2022 Dem Perc,2022 Rep Perc,2022 Indie or Other Dem Perc,2022 Indie or Other Rep Perc,Special Election Date,Dem,Rep,2020 CVAP White (Alone),2020 CVAP Hispanic or Latino,2020 CVAP Black,2020 CVAP Asian,2020 CVAP Native American,2020 CVAP Pacific Islander,2016 CVAP White (Alone),2016 CVAP Hispanic or Latino,2016 CVAP Black,2016 CVAP Asian,2016 CVAP Native American,2016 CVAP Pacific Islander,Bachelor's Degree or Higher,BA Rank,White Only Bachelor's Degree,White Only BA Rank,Non-College White Adult Citizens,Non-College White Rank,,Vote 2020 Total,Vote 2020 Biden,Vote 2020 Trump,Vote 2016 Total,Vote 2016 Clinton,Vote 2016 Trump,Vote House 2022 Total,Vote House 2022 Democratic,Vote House 2022 Republican,Vote House 2022 Independent or Other Democratic,Vote House 2022 Independent or Other Republican,Vote 2022 True Indie or 3rd Party,Vote Special House,Vote Special Democratic,Vote Special Republican,Vote Special Independent or 3rd Party,Total Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Total Adult Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Total Adult Citizen Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Total Population Ages 25+,Bachelor's Degree or Higher,Total White Population Ages 25+,White Bachelor's Degree
Nationwide,USA,222R - 212D - 1 Vacant,N/A,N/A,,,,,,,,51.4,46.9,48.4,46.3,47.4,50.5,0.5,0.1,,,,60.8,16.8,13.2,7.0,2.7,0.4,67.6,12.8,13.1,4.8,1.3,0.2,33.7,182.5,37.3,201.5,42.4,224.5,Sort Order,"158,246,083","81,284,778","74,224,501","135,942,537","65,853,652","62,985,134","107,738,768","51,023,148","54,444,142","536,021","63,917","1,671,737",,,,,"331,449,281","191,697,647","62,080,044","46,936,733","24,000,998","9,666,058","1,586,463","258,343,281","157,118,573","43,322,792","34,092,162","18,138,612","6,982,636","1,069,995","233,440,505","157,836,515","29,875,840","30,504,911","11,313,247","2,993,515","353,726","225,152,317","75,808,834","143,418,714","53,566,808"
Alabama's 1st,AL-01,Republican,Jerry,Carl,2020,1958,Man,White,Christian - Protestant - Baptist,No,Re-elected,35.3,63.6,33.8,62.9,0,83.6,0,0,,,,66.0,3.2,25.6,1.8,3.1,0.1,68.2,2.2,26.5,1.3,1.7,0.0,25.6,322,29.0,326,48.4,164,1,"327,039","115,566","208,116","301,237","101,839","189,526","168,150",0,"140,592",0,0,"27,558",,,,,"717,754","455,278","27,196","196,827","14,541","23,350","1,024","557,535","367,960","18,014","142,777","10,292","17,316",670,"536,917","365,958","11,604","142,189","7,108","9,217",121,"492,671","126,098","337,274","97,920"
Alabama's 2nd,AL-02,Republican,Barry,Moore,2020,1966,Man,White,Christian - Protestant - Baptist,No,Re-elected,34.8,64.2,32.3,64.8,29.2,69.1,0,0,,,,62.0,3.6,30.1,2.3,2.1,0.1,64.9,2.1,30.8,1.1,1.1,0.0,25.1,330,27.4,346,47.1,180,2,"319,817","111,264","205,435","299,195","96,668","193,978","198,961","58,014","137,460",0,0,"3,487",,,,,"717,755","426,142","31,708","228,648","17,621","15,742","1,253","557,677","345,900","19,933","167,971","12,736","11,706",834,"532,505","345,654","11,220","163,896","5,935","5,634",40,"487,855","122,218","314,833","86,417"
Alabama's 3rd,AL-03,Republican,Mike,Rogers,2002,1958,Man,White,Christian - Protestant - Baptist,No,Re-elected,32.5,66.6,31.1,65.7,25.1,71.2,0,0,,,,67.7,3.1,25.0,2.1,2.1,0.1,71.3,1.9,25.0,0.9,0.8,0.1,21.8,388,23.8,404,54.3,114,3,"316,695","102,772","210,797","285,575","88,876","187,604","190,406","47,859","135,602",0,0,"6,945",,,,,"717,754","473,307","26,849","187,284","15,589","15,474","1,133","564,281","382,226","17,334","141,011","11,793","11,895",729,"537,301","383,148","10,032","134,295","4,695","4,253",364,"482,543","105,333","339,442","80,929"
Alabama's 4th,AL-04,Republican,Robert,Aderholt,1996,1965,Man,White,Christian - Protestant - Congregationalist,No,Re-elected,18.6,80.4,18.0,79.0,13.6,84.1,0,0,,,,82.4,5.7,7.7,0.8,3.5,0.1,87.7,2.4,7.7,0.4,1.7,0.0,18.1,424,18.8,433,71.2,14,4,"326,261","60,733","262,359","298,177","53,761","235,439","195,733","26,694","164,655",0,0,"4,384",,,,,"717,754","573,666","53,874","59,655","6,525","26,440",822,"556,133","458,324","31,463","42,819","4,571","19,581",506,"526,676","461,981","12,428","40,698","2,361","8,893",186,"493,906","89,557","424,092","79,642"
Alabama's 5th,AL-05,Republican,Dale,Strong,2022,1970,Man,White,Christian - Protestant - Baptist,No,Open Seat - Ran for Senate and lost in primary (Mo Brooks),35.6,62.7,30.8,63.8,29.6,67.1,0,0,,,,70.9,5.3,18.1,2.5,3.3,0.2,75.8,2.6,18.2,1.6,1.7,0.1,34.9,162,36.3,217,48.3,166,5,"345,255","123,032","216,584","297,866","91,722","189,922","212,317","62,740","142,435",0,0,"7,142",,,,,"717,754","491,054","47,307","136,782","20,008","24,446","1,578","561,187","397,809","29,646","101,339","14,172","18,333",996,"520,376","394,322","13,438","94,795","8,501","8,699",340,"491,634","171,599","367,338","133,356"
Alabama's 6th,AL-06,Republican,Gary,Palmer,2014,1954,Man,White,Christian - Protestant - Presbyterian,No,Re-elected,34.4,64.4,28.5,66.8,0,83.7,0,0,,,,71.2,5.4,18.9,2.3,2.2,0.1,76.1,2.2,19.5,1.4,0.7,0.0,38.2,125,41.6,152,44.4,201,6,"354,698","122,189","228,267","321,992","91,781","215,098","184,203",0,"154,233",0,0,"29,970",,,,,"717,754","491,446","46,872","145,897","17,669","15,967",848,"552,286","393,028","29,711","104,551","12,615","11,937",579,"509,270","387,807","11,265","99,370","6,970","3,668",172,"492,854","188,116","364,224","151,662"
Alabama's 7th,AL-07,Democratic,Terri,Sewell,2010,1965,Woman,Black,Christian - Protestant - Methodist,No,Re-elected,65.6,33.6,64.1,33.5,63.5,34.8,0,0,,,,38.6,3.7,55.3,1.5,1.3,0.1,40.3,1.2,57.1,0.8,0.5,0.0,22.8,374,31.7,291,27.5,334,7,"326,206","214,068","109,612","319,782","204,960","107,062","193,940","123,233","67,416",0,0,"3,291",,,,,"717,754","260,458","30,241","409,643","10,824","9,611",821,"568,067","219,297","20,755","313,904","8,730","7,346",576,"546,136","219,974","6,774","312,089","4,231","2,781",93,"472,340","107,504","182,634","57,821"
Alaska's At-Large,AK-AL,Democratic,Mary,Peltola,2022 Special,1973,Woman,Native American - Yup'ik (Native Alaskan),Christian - Eastern Orthodox,No,Re-elected,43.0,53.1,37.6,52.8,55.0,45.0,0,0,,,,61.5,6.0,4.3,7.8,19.1,2.0,66.1,5.9,3.8,5.5,16.9,1.1,30.6,233,37.0,206,41.6,234,8,"357,569","153,778","189,951","309,407","116,454","163,387","249,734","137,263","112,471",0,0,0,,,,,"733,391","421,758","49,824","35,454","61,460","160,287","18,668","554,003","340,580","33,441","23,665","43,407","105,737","11,184","532,540","351,991","31,283","20,368","29,103","90,039","5,596","484,382","148,191","314,665","116,578"
