,date,text
0,"Nov 8, 2022",I am honored and grateful that the people of #PA17 have elected me as their next Congressman to serve Western Pennsylvania in Congress. Read my full statement here:
1,"Nov 8, 2022","Polls are now open, #PA17! I’m out here at the polls in Aliquippa greeting folks and making sure they vote blue today!"
2,"Nov 8, 2022","The sun might have went down, but we are still out at the polls here in #PA17! Go vote! 🗳"
3,"Nov 8, 2022","I ended the day at the polls at the place where it all began for me, in Thornburg where I grew up, where I learned the values I’ll take to Washington. #PA17"
4,"Nov 8, 2022","Western PA made me the man I am today. From stepping up to serve this country in uniform, to fighting for our common good across #PA17, those values always guide me. And when I'm your Congressman, I will always put you, your families, and this country first."
5,"Nov 8, 2022","I just joined my family to proudly vote for our common good, our freedom, and our shared prosperity here in #PA17. Together, I know that we can keep fighting to make America the land of hope and dreams for all of us. Let’s go!"
6,"Nov 8, 2022",Great to stop by the Eastridge Library in Wilkinsburg to see some current—and future #PA17 voters—as well!
7,,"Proud to join @JohnFetterman and @giselefetterman to rally a massive crowd to get out the vote tomorrow. We're ready to win here in #PA17 and across the Commonwealth, and John and I are ready to serve. Big thanks to @EASCarpenters for hosting us tonight!"
8,"Nov 7, 2022",Corporate executive Jeremy Shaffer really can't stand to be asked about his business in China (or Saudi Arabia!). Corporations like the one that made him rich are raking in millions building up China's infrastructure & selling out folks from #PA17. Need proof? Here:
9,"Nov 7, 2022","On the eve of Election Day, I proudly joined our next Lieutenant Governor of Pennsylvania 
@AustinDavisPA
 at our #TeamDeluzio campaign headquarters to phone bank! Less than 24 hours, #PA17! Let's do this!"
10,"Nov 7, 2022","Tomorrow, freedom is on the ballot in #PA17. I'm in this race to protect our rights to vote, to have a union, to make your own pregnancy and health care decisions, and so much more. 🇺🇸"
11,"Nov 7, 2022","🚨🚨🚨 Beaver County has published the list of voters who need to fix their mail-in ballots. If you voted by mail in Beaver County, please check this list! #PA17"
12,"Nov 7, 2022","We have to rein in the corporate predators sitting on soaring profits and ripping us all off here in #PA17. When I'm your Congressman, I'll be fighting these giants in Washington. Let's win this!"
13,"Nov 7, 2022","My opponent 🤝 Hurting #PA17 seniors

If elected, Shaffer will join other radical Republicans to put Social Security on the chopping block and undermine seniors' health care by cutting Medicare. 

I won't let that stand. Our seniors deserve better."
14,"Nov 6, 2022","It's despicable that Jeremy Shaffer would stand with Pat Toomey over veterans in #PA17, a guy who tried to block benefits for veterans like me exposed to burn pits in war zones. #PA17Debate"
15,"Nov 6, 2022","Great to have 
@francoharrishof
 join #TeamDeluzio for a canvass launch in Shaler this afternoon.

Only a few days left until Election Day—let's do this, #PA17!"
16,"Nov 6, 2022","It doesn't matter if you teach, serve coffee, or make steel. You have the right to a strong union. And I'll stand with you, always. ✊ #PA17"
17,"Nov 6, 2022",Proud to address everyone at Ebenezer AME Church and Greater Miracle Ministries today. I'm ready to serve for the good people in these congregations and all across #PA17!
18,"Nov 6, 2022","I proudly served in uniform with 
@BarackObama
 as my Commander-in-Chief. And I am extremely proud to have his backing in our race to serve the people of #PA17!"
19,"Nov 5, 2022",It was great to join the San Rocco Foundation for their annual Night at the Races event. The crowd at St. Francis Cabrini Church in Center Twp. was packed! Viva San Rocco! #PA17
20,"Nov 5, 2022","Folks in #PA17 may be changing their clocks back an hour tonight, but that doesn't mean we have to move this district back 50 years by letting my extremist opponent ban abortion nationwide.

This election will determine our future. Go vote!"
21,"Nov 5, 2022","🗳️Election Day is just days away, #PA17🗳️. So make a plan to vote, vote for Democrats up and down the ballot, and tell everyone you know to do the same! 

Get more info ▶️"
22,"Nov 5, 2022","I also caught up with legend and friend 
@francoharrishof
 at today's rally. Proud to count Franco on #TeamDeluzio! #PA17"
23,"Nov 5, 2022","I was honored to join 
@BarackObama
, 
@JohnFetterman
, 
@LindseyForPA
 and many others to rally today. Folks are fired up and ready to vote for Democrats who will deliver results for the hard-working men and women here in Western PA! #PA17"
