,date,text
0,"Sep 23, 2022","I am:

👷‍♂️Pro-worker
🏠 Pro-family
💪 Pro-tecting our democracy 

Let's not have extremism represent #WA03"
1,"Sep 23, 2022","🚨 Volunteer Alert 🚨 

Join me this weekend to ✊ on some 🚪 in Hazel Dell & East Vancouver

RSVP Here: http://mobilize.us/marieforcongress/"
2,"Sep 23, 2022",Dark money has no place in our democracy. It’s inexcusable that we have Senators who would vote to block the #DISCLOSEAct. I'm not taking a dime of corporate PAC money because it's toxic for our democracy.
3,"Sep 23, 2022",Chip in to elect someone who will keep big money out of politics:
4,"Sep 22, 2022","In 2020 I miscarried and needed immediate medical attention. Planned Parenthood was the only clinic that could see me, and I had to pass through a wall of protestors to get the care I needed.

The fight for our rights is my fight too. Honored to be endorsed by 
@PPact
 
@PPAAWest"
5,"Sep 22, 2022",I will always fight for working people and good jobs in Southwest Washington. Thank you to the Association of Western Pulp & Paper Workers Local 5 in Camas for your warm welcome!
6,"Sep 22, 2022",Joe Kent’s embrace of the antisemitic social media platform Gab is one more reason why he should never serve in Congress.
7,"Sep 21, 2022","Thank you 
@HerreraBeutler
 for being one of only 9 Republicans willing to stand up for our democracy today. Country over party."
8,"Sep 21, 2022","I am the daughter of an immigrant, my father was a pastor and worked tirelessly for our community. 

Ending birthright citizenship and taking such backward stances on immigration undermines the civil fabric and economic success of America"
9,"Sep 21, 2022","My platform is simple, we need to:
 
👷‍♂️ Reshore Manufacturing
🛑 Put a stop to corporate price gouging 
💸 Get Big Money out of Politics
🙅‍♀️ Federally Protect Reproductive Freedoms

I’m bringing real solutions to real problems that impact everyday Washingtonians."
10,"Sep 21, 2022","Joe Kent is an extremist who will undermine our Constitution and make our communities less safe.

I will protect our democracy and support our firefighters, officers, and first responders.

Extremism vs. a safe world is the choice in this election."
11,"Sep 21, 2022",It’s official: Joe Kent joins his idols Marjorie Taylor Greene and Matt Gaetz in the “defund the FBI” club. Congrats are not in order.
12,"Sep 20, 2022","Voting is the cornerstone of democracy. Joe Kent and his MAGA friends want to make it harder because it’s the only way they can win. 

Get registered. Make a plan. We can’t let extremist views represent #WA03."
13,"Sep 20, 2022","Are you registered to vote? Is your registration up to date? 

Celebrate #NationalVoterRegistrationDay with me by making sure you'll be able to cast a ballot before November 8th. https://olvr.votewa.gov"
14,"Sep 20, 2022","In honor of #NationalVoterRegistrationDay, let’s remember that I am the only candidate in this race who supports mail-in voting.

Make sure you're registered and let's keep Joe Kent out of office."
15,"Sep 20, 2022",https://olvr.votewa.gov
16,"Sep 20, 2022","@chronline
 posted profiles of Joe and me & the contrasts between us couldn't be clearer. 

Kent embraces the far-right and rejects the middle.

I want to represent working families and am committed to finding common ground delivering results for #WA03."
17,"Sep 19, 2022","Very excited to share my pro-choice, pro-union platform with the 
@IndivisibleTeam
 for a town hall this Thursday. 

The event is from 7:00-8:00pm and will be held virtually with @IndivisibleWA03. Register here: https://mobilize.us/s/7Kzthp"
