,date,text
0,"Nov 08, 2022","From Pacific County, to my home in Skamania and everywhere in between, voters have stood up for women, working families, and our democracy.

Today is when we bring our hard work home. Get your ballots in before 8 pm tonight so we can win this thing! https://t.co/Z3T6Uc15hf"
1,"Nov 08, 2022",We’ll be making calls online &amp; in person starting at 4:00 pm to get those last votes in. I hope you can join! Sign up for both here: https://t.co/4ihF9l4yY4
2,"Nov 08, 2022","For everyone who has pitched in to make our campaign as strong as it is today, I’ll be at the Hilton in downtown Vancouver tonight at 7 pm. 

Come join me and celebrate all of our hard work as we watch the election results come in! RSVP here: https://t.co/tvDvGiUFUg"
3,"Nov 08, 2022","Comparing your weird rally to January 6th is not the dunk you think it is, bucko https://t.co/ZXAUjAc9RK"
4,"Nov 08, 2022","If you want to get to know me and what I stand for, watch this video. 

If I’m your candidate after watching, please share and retweet to help more people see.

Most of all, please VOTE and return your ballot by 8pm 🗳 https://t.co/FD3kmhORKq"
5,"Nov 08, 2022","Be safe &amp; be aware as you drop off your ballot, WA. If you experience any intimidation, report it right away. You can contact your county elections office (​​https://t.co/dfALlXiVvU) or call the Election Protection Hotline at 1-866-OUR-VOTE"
6,"Nov 08, 2022","🚨⚠️ Vancouver voters, Joe Kent is holding a rally outside the downtown voting center this morning – you know, the place where voters return ballots and update registration info. Even for a notorious election denier, this obvious attempt to intimidate voters is deeply alarming. https://t.co/ITg2JTcPwE"
7,"Nov 08, 2022","It’s Election Day. I’ve cast my vote and I hope I’ve done everything to earn yours.

As a pro-choice mom who runs an auto shop, I'll be an independent voice for working families like mine.

I need your vote today. Return your ballot by 8pm 🗳️ https://t.co/uV9Ps1wMAl"
8,"Nov 08, 2022","“White Nationalists Dominate Discussion at Joe Kent Town Hall”

This is the future Joe Kent wants for Southwest Washington. It’s the world he’s already living in.

But the rest of us still have a choice. Today we must all say No to Joe Kent.

Return your ballot by 8pm 🗳 https://t.co/1JjLICyW8W"
9,"Nov 08, 2022",Sign waving up here in Battle Ground on SR 503 - give a honk when you see us! https://t.co/zqILmLwh4T
