created_at,id,text,context_annotations,geo
2023-07-09 21:57:35+00:00,1678161500995977217,"RT @WAStateStandard: In an interview with @WAStateStandard, @RepMGP weighs in on gas prices, electric vehicles, and energy policy. (by @dos…","[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597302226944', 'name': 'Transportation'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696420500541440', 'name': 'Automotive, Aircraft & Boat Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to automobile, spacecraft, aircraft and boat manufacturing'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697333571112960', 'name': 'Technology Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to softwares, apps, communication equipments, hardwares'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697439489880065', 'name': 'Travel & Transportation Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to travel as airlines, travel agencies, hotels'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '781974597302226944', 'name': 'Transportation'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '839159814991167489', 'name': 'Travel', 'description': 'Travel'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847528391163092993', 'name': 'Automotive', 'description': 'Car culture'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1362135345043673092', 'name': 'Electric vehicles'}}, {'domain': {'id': '165', 'name': 'Technology', 'description': 'for individual and types of technology, e.g., food technology, 3D printing'}, 'entity': {'id': '848920371311001600', 'name': 'Technology', 'description': 'Technology and computing'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '847528391163092993', 'name': 'Automotive', 'description': 'Car culture'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '847528576551337984', 'name': 'Hybrid and electric vehicles', 'description': 'Hybrid and electric vehicles'}}]",
2023-07-09 03:29:04+00:00,1677882533667831808,"RT @buildtheera: Possibly the best quote ever about building infrastructure.  ❤️ 
Thank you @MGPforCongress",[],
2023-07-09 03:25:52+00:00,1677881730630565889,"✅ $40 million secured for the Washougal 32nd Street underpass. This will eliminate a busy railroad crossing, speed up emergency response times, and ease congestion on SR-14.

Bringing our tax dollars home to Southwest Washington is my priority. Next up: I-5 bridge replacement https://t.co/PvxeH9IqoU","[{'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1037076073719025664', 'name': 'Traffic', 'description': 'Traffic'}}]",
2023-07-03 15:49:05+00:00,1675894440404357120,"More firefighting resources arriving in Skamania County today. Grateful for the crews responding and working to contain the #Tunnel5Fire 

Follow these accounts for updates ⤵️ https://t.co/Oq1JKSzU8s","[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1237472346560053249', 'name': 'Firefighting'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1237472346560053249', 'name': 'Firefighting'}}]",
2023-07-02 22:26:36+00:00,1675632087628677122,RT @waDNR_fire: #WaWILDFIRE UPDATE #Tunnel5Fire 75+ acres and growing. Level 3 evacuations ordered by Skamania County Sheriff. Those under…,[],
2023-06-24 19:02:36+00:00,1672681648729608192,"Abortions are healthcare, period. And no matter what, I will always fight for choice and access in Washington and for every person across the country.",[],
2023-06-24 18:35:24+00:00,1672674801540841480,"Today marks the 1 year anniversary of Dobbs v Jackson – the day that the Supreme Court put politics over women’s health and the right to bodily autonomy by overturning Roe v Wade. Like so many other rural communities, in WA3 we know how hard it is to get the healthcare we need.","[{'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847878884917886977', 'name': 'Politics', 'description': 'Politics'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '900740740468191232', 'name': 'Political issues', 'description': 'Political issues'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1046545033657081857', 'name': 'News', 'description': 'News'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1521295104438284288', 'name': 'Reproductive Rights in the United States'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847878884917886977', 'name': 'Politics', 'description': 'Politics'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '900740740468191232', 'name': 'Political issues', 'description': 'Political issues'}}]",
2023-06-21 18:11:32+00:00,1671581632334012416,"RT @_OneCountry_: The #FarmBill, which governs our nation’s agriculture &amp; food security, is up for re-authorization. @RepMGP joined the #Ho…",[],
2023-06-21 15:12:43+00:00,1671536630992191488,Too often politicians get caught up in culture wars and only listen to the loudest voices. I joined @HeidiHeitkamp &amp; @JoelKFGO on the @_OneCountry_ #HotDishPod to talk about getting back to good governance that reflects rural values. Listen here: https://t.co/lhv8KCA30V https://t.co/A3DwGuJas4,[],
2023-06-19 16:01:00+00:00,1670824007292055558,"Today we celebrate #Juneteenth to honor the end of slavery and recommit ourselves to the fight for true freedom, justice, and equality for ALL.","[{'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1270453235480854528', 'name': 'Juneteenth', 'description': 'Juneteenth, the holiday commemorating the day that all enslaved people in the US learned they were free, is being celebrated this year with marches, music and more.'}}, {'domain': {'id': '119', 'name': 'Holiday', 'description': 'Holidays like Christmas or Halloween'}, 'entity': {'id': '1270453235480854528', 'name': 'Juneteenth', 'description': 'Juneteenth, the holiday commemorating the day that all enslaved people in the US learned they were free, is being celebrated this year with marches, music and more.'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '913061256646377473', 'name': 'Black Lives Matter', 'description': 'Black Lives Matter is an international activist movement, originating in the African-American community, that campaigns against violence and systemic racism towards black people.'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1270453235480854528', 'name': 'Juneteenth', 'description': 'Juneteenth, the holiday commemorating the day that all enslaved people in the US learned they were free, is being celebrated this year with marches, music and more.'}}, {'domain': {'id': '119', 'name': 'Holiday', 'description': 'Holidays like Christmas or Halloween'}, 'entity': {'id': '1270453235480854528', 'name': 'Juneteenth', 'description': 'Juneteenth, the holiday commemorating the day that all enslaved people in the US learned they were free, is being celebrated this year with marches, music and more.'}}]",
