,bias,message,label,text,Name,Last Name,Party,Party_Bias,Party_Message
1,partisan,attack,From: Mitch McConnell (Senator from Kentucky),VIDEO - #Obamacare:  Full of Higher Costs and Broken Promises: http://t.co/dn3vzqIrWF,Mitch McConnell,McConnell,R,R-partisan,R-attack
2,neutral,support,From: Kurt Schrader (Representative from Oregon),Please join me today in remembering our fallen heroes and honoring the men and women currently in military service for their sacrifices.,Kurt Schrader,Schrader,D,D-neutral,D-support
3,neutral,policy,From: Michael Crapo (Senator from Idaho),RT @SenatorLeahy: 1st step toward Senate debate on Leahy-Crapo #VAWA bill is the SenateÛªs procedural vote today at 5:30 pm,Michael Crapo,Crapo,R,R-neutral,R-policy
4,partisan,policy,From: Mark Udall (Senator from Colorado),.@amazon delivery #drones show need to update law to promote #innovation &amp; protect #privacy. My #UAS bill does that: http://t.co/l9ta5SKq6u,Mark Udall,Udall,D,D-partisan,D-policy
5,partisan,information,From: Heidi Heitkamp (Senator from North Dakota),Called on the @USDOTFRA to release info about inspections before the #CasseltonDerailment to review quality of rails. (1/2),Heidi Heitkamp,Heitkamp,D,D-partisan,D-information
8,neutral,personal,From: Chuck Fleischmann (Representative from Tennessee),What a wonderful night at State Senator Ken YagerÛªs Chili Supper benefitting the Boys &amp; Girls Clubs of Roane County. http://t.co/DsyoAFZvkR,Chuck Fleischmann,Fleischmann,R,R-neutral,R-personal
9,partisan,support,From: Steny Hoyer (Representative from Maryland),"Great op-ed by Pres. Clinton about signing #FMLA 20 yrs ago today, an important law protecting workers http://t.co/csYEv7O4 #HoyerHeadlines",Steny Hoyer,Hoyer,D,D-partisan,D-support
10,partisan,policy,From: John Fleming (Representative from Louisiana),"As POTUS golfs, pushes amnesty &amp; ignores Keystone, American people are concerned about jobs, econ &amp; health care costs http://t.co/p9sPDYOAca",John Fleming,Fleming,R,R-partisan,R-policy
11,partisan,attack,From: Adam Kinzinger (Representative from Illinois),The President doesnÛªt get to just decide he doesnÛªt like Congress and do his own thing: http://t.co/jmclKjUzSG,Adam Kinzinger,Kinzinger,R,R-partisan,R-attack
12,neutral,policy,From: Thomas Carper (Senator from Delaware),"FACT: The Recovery Act cut taxes for middle-class families, kept teachers in the classroom, &amp; police &amp; firefighters on the streets.",Thomas Carper,Carper,D,D-neutral,D-policy
13,neutral,information,From: Gregg Harper (Representative from Mississippi),RT @MHA: Telemedicine consults at rural ERs helps prevent prescription errors (via @genevrapittman for @medcitynews) http://t.co/VEyo4ScM3g,Gregg Harper,Harper,R,R-neutral,R-information
14,neutral,personal,From: John Dingell (Representative from Michigan),"@SkitchP Wouldn't wish that on anyone. Even you, Skitch.",John Dingell,Dingell,D,D-neutral,D-personal
15,partisan,policy,From: Kirsten Gillibrand (Senator from New York),"At 5:45pm, Sen. @CoryBooker will give his maiden Senate speech on need to #RenewUI--such an impt issue! Follow @SenBookerofc for livetweets.",Kirsten Gillibrand,Gillibrand,D,D-partisan,D-policy
16,neutral,personal,From: Cory Booker (Senator from New Jersey),"""...if you have come because your liberation is bound up with mine, then let us work together."" ÛÒ Lilla Watson http://t.co/6WPXW9QUM0",Cory Booker,Booker,D,D-neutral,D-personal
17,neutral,support,From: Elizabeth Esty (Representative from Connecticut),"For health coverage starting Jan. 1st, you must sign up for @AccessHealthCT by end of today: http://t.co/fS7mNrPpmB #GetEnrolled",Elizabeth Esty,Esty,D,D-neutral,D-support
19,partisan,support,From: Paul Tonko (Representative from New York),Tks to Margaret 4 joining me in DC to share successes Niskayuna NCAP saw in education &amp; prevention of substance abuse http://t.co/kvS6kAkJyT,Paul Tonko,Tonko,D,D-partisan,D-support
